orig Songs Names,Sampling Song Names,Start of Sample,Start of sample in orig song
AJ Scratch [ Kurtis Blow ],Fastlove [ George Michael ],['3:11'],['0:00']
AJ Scratch [ Kurtis Blow ],Stardust Speedway (Present) [ Naofumi Hataya ],['0:14'],['0:02']
AJ Scratch [ Kurtis Blow ],Slick Talk [ JID ],['1:00'],['0:02']
AJ Scratch [ Kurtis Blow ],Fight the Power [ Public Enemy ],['3:19'],['1:35']
AJ Scratch [ Kurtis Blow ],Stardust Speedway (Bad Future) [ Naofumi Hataya ],['0:43'],['0:02']
AJ Scratch [ Kurtis Blow ],You Be Illin' [ Run-DMC ],['0:03'],['0:00']
AJ Scratch [ Kurtis Blow ],Zoom (Sinéad O'Connick Jr.) [ John Oswald ],['1:01'],['0:00']
AJ Scratch [ Kurtis Blow ],Rock Me Good [ Timmy Gatling ],['0:01'],['0:02']
AJ Scratch [ Kurtis Blow ],The Number Song [ DJ Shadow ],['0:38'],['0:00']
AJ Scratch [ Kurtis Blow ],Welcome to the Terrordome [ Public Enemy ],['0:07'],['0:03']
AJ Scratch [ Kurtis Blow ],South Bronx [ Boogie Down Productions ],['3:36'],['0:22']
AJ Scratch [ Kurtis Blow ],Brand New Funk [ DJ Jazzy Jeff & the Fresh Prince ],['0:05'],['0:03']
AJ Scratch [ Kurtis Blow ],Here We Go (Live at the Funhouse) [ Run-DMC ],['2:25'],['1:30']
AJ Scratch [ Kurtis Blow ],So Special [ Lil Wayne feat. John Legend ],['0:44'],['0:03']
AJ Scratch [ Kurtis Blow ],Just Kickin' It [ Xscape ],['0:53'],['1:30']
Rebel Without a Pause [ Public Enemy ],RITMO (Bad Boys for Life) [ Black Eyed Peas and J Balvin ],['2:36'],['0:13']
Rebel Without a Pause [ Public Enemy ],Holler if Ya Hear Me [ 2Pac ],['2:06'],"['0:10', '0:19', '0:51']"
Rebel Without a Pause [ Public Enemy ],Testa Alta [E Pugno Al Cielo] [ Lento Violento Man ],['2:09'],['0:45']
Rebel Without a Pause [ Public Enemy ],Bring That Beat Back [ Public Enemy ],['0:08'],['4:22']
Rebel Without a Pause [ Public Enemy ],Beat Dis [ Bomb the Bass ],['2:05'],['0:11']
Rebel Without a Pause [ Public Enemy ],"The Rhythm, the Rebel [ R.A.F. ]",['0:46'],['0:09']
Rebel Without a Pause [ Public Enemy ],Strong Island [ J.V.C. F.O.R.C.E. ],['0:59'],['1:52']
Rebel Without a Pause [ Public Enemy ],WINGS [ Black Eyed Peas feat. Nicole Scherzinger ],['3:15'],['4:22']
Rebel Without a Pause [ Public Enemy ],Hellz Wind Staff [ Wu-Tang Clan feat. Streetlife ],['1:58'],['0:11']
Rebel Without a Pause [ Public Enemy ],C.I.A. Murder Me [ Sick Symphonies feat. Immortal Technique ],['0:06'],['0:31']
Rebel Without a Pause [ Public Enemy ],Radio [ Eazy-E ],['0:07'],['0:08']
Rebel Without a Pause [ Public Enemy ],Jackin' for Beats [ Ice Cube ],['1:31'],['0:37']
Rebel Without a Pause [ Public Enemy ],Bring That Beat Back [ Chosen Few ],['0:00'],['4:18']
Rebel Without a Pause [ Public Enemy ],Let's Go Get Stoned [ Sublime ],['1:09'],['0:09']
Rebel Without a Pause [ Public Enemy ],Long Island Wildin' [ De La Soul feat. Scha Dara Parr and Takagi Kan ],['0:12'],['4:19']
Rebel Without a Pause [ Public Enemy ],Spin That Wheel [ Hi Tek 3 feat. Ya Kid K ],"['1:17', '2:32', '3:24']",['4:27']
N.T. [ Kool & the Gang ],N.Y. State of Mind [ Nas ],['0:01'],['5:29']
N.T. [ Kool & the Gang ],It Ain't Hard to Tell [ Nas ],['0:04'],['3:12']
N.T. [ Kool & the Gang ],Breathe and Stop [ Q-Tip ],['0:00'],['5:37']
N.T. [ Kool & the Gang ],Gangsta Gangsta [ N.W.A ],['1:26'],['5:29']
N.T. [ Kool & the Gang ],Streiht Up Menace (Remix) [ MC Eiht ],['0:14'],['5:34']
N.T. [ Kool & the Gang ],"Remember Me (Sure Is Pure 7"" Edit) [ Blue Boy ]",['0:02'],['5:34']
N.T. [ Kool & the Gang ],Tha Next Episode [ Snoop Dogg feat. Dr. Dre ],['0:01'],['5:33']
N.T. [ Kool & the Gang ],Fakin' the Funk [ Main Source feat. Neek the Exotic ],['0:57'],"['2:40', '2:50']"
N.T. [ Kool & the Gang ],Si SeñOr [ Control Machete ],['0:20'],['0:52']
N.T. [ Kool & the Gang ],Mind Power [ A Tribe Called Quest feat. Consequence ],['0:02'],['3:18']
N.T. [ Kool & the Gang ],For Pete's Sake [ Pete Rock & C.L. Smooth ],['1:17'],['2:44']
N.T. [ Kool & the Gang ],His Pain II [ BJ the Chicago Kid feat. Kendrick Lamar ],['3:07'],['5:30']
N.T. [ Kool & the Gang ],Best Kept Secret [ Diamond D and The Psychotic Neurotics ],['0:13'],['4:41']
N.T. [ Kool & the Gang ],Truly Yours [ Kool G Rap & DJ Polo ],['0:11'],['3:12']
N.T. [ Kool & the Gang ],B Side Wins Again [ Public Enemy ],['0:06'],['5:31']
N.T. [ Kool & the Gang ],The World Is Yours (Tip Mix) [ Nas ],['0:57'],['3:25']
C.R.E.A.M. [ Wu-Tang Clan ],Pound Cake/Paris Morton Music 2 [ Drake feat. Jay-Z ],['0:45'],['0:16']
C.R.E.A.M. [ Wu-Tang Clan ],Notorious Thugs [ The Notorious B.I.G. feat. Bone Thugs-N-Harmony ],['2:08'],['0:16']
C.R.E.A.M. [ Wu-Tang Clan ],Petit Frère [ IAM ],['0:05'],['2:06']
C.R.E.A.M. [ Wu-Tang Clan ],Mathematics [ Mos Def ],['1:05'],['1:24']
C.R.E.A.M. [ Wu-Tang Clan ],"We Takin' Over [ DJ Khaled, Akon, T.I. and Rick Ross feat. Fat Joe, Birdman and Lil Wayne ]",['2:29'],['0:16']
C.R.E.A.M. [ Wu-Tang Clan ],Paper Trail$ [ Joey Bada$$ ],['2:33'],['0:16']
C.R.E.A.M. [ Wu-Tang Clan ],Mooo! [ Doja Cat ],['1:20'],['0:16']
C.R.E.A.M. [ Wu-Tang Clan ],Kream [ Iggy Azalea feat. Tyga ],['0:20'],['0:16']
C.R.E.A.M. [ Wu-Tang Clan ],Chain on / Hold Me [ BROCKHAMPTON feat. JPEGMAFIA ],['3:34'],['0:16']
C.R.E.A.M. [ Wu-Tang Clan ],Anything (Old Skool Version) [ SWV feat. Wu-Tang Clan ],['2:59'],['0:22']
C.R.E.A.M. [ Wu-Tang Clan ],Livin' Proof [ Group Home ],['2:16'],"['2:41', '2:06']"
C.R.E.A.M. [ Wu-Tang Clan ],"It's Me...(Remix) [ Swizz Beatz feat. Lil Wayne, R. Kelly and Jadakiss ]",['3:01'],['0:21']
C.R.E.A.M. [ Wu-Tang Clan ],"Sweetest Girl (Dollar Bill) [ Wyclef Jean feat. Niia, Akon and Lil Wayne ]",['1:47'],['0:16']
C.R.E.A.M. [ Wu-Tang Clan ],What's It All About [ Girl Talk ],['2:30'],['0:22']
C.R.E.A.M. [ Wu-Tang Clan ],Game's Pain [ The Game feat. Keyshia Cole ],['3:01'],['0:16']
C.R.E.A.M. [ Wu-Tang Clan ],Ballin' [ Fat Joe feat. Wiz Khalifa and Teyana Taylor ],['0:25'],['0:16']
It's Yours [ T La Rock and Jazzy Jay ],The World Is Yours [ Nas ],['0:01'],['0:27']
It's Yours [ T La Rock and Jazzy Jay ],ILoveUIHateU [ Playboi Carti ],['0:20'],['0:04']
It's Yours [ T La Rock and Jazzy Jay ],Paul Revere [ Beastie Boys ],['0:13'],['0:05']
It's Yours [ T La Rock and Jazzy Jay ],Mileage [ Playboi Carti feat. Chief Keef ],['0:02'],['0:04']
It's Yours [ T La Rock and Jazzy Jay ],Flatbed Freestyle [ Playboi Carti ],['0:09'],['0:04']
It's Yours [ T La Rock and Jazzy Jay ],Jazzy Belle [ OutKast ],['1:27'],['0:08']
It's Yours [ T La Rock and Jazzy Jay ],"Cypher [ Hit-Boy, ScHoolboy Q, Xzibit and Rick Ross feat. Method Man, Redman and Raekwon ]",['1:32'],['0:04']
It's Yours [ T La Rock and Jazzy Jay ],Before You Walk Out of My Life [ Monica ],"['2:07', '2:27', '3:09']",['0:04']
It's Yours [ T La Rock and Jazzy Jay ],Rewind [ Nas ],['0:03'],['0:11']
It's Yours [ T La Rock and Jazzy Jay ],Tony Hawk's Pro Skater (Main Menu Music) [ Brian Bright ],['0:11'],['0:05']
It's Yours [ T La Rock and Jazzy Jay ],Chase the Clouds Away [ Evidence ],['0:19'],['0:33']
It's Yours [ T La Rock and Jazzy Jay ],Go Stetsa I [ Stetsasonic ],['1:17'],['0:04']
It's Yours [ T La Rock and Jazzy Jay ],GTA Advance Theme [ Rockstar Games ],['0:00'],['0:10']
It's Yours [ T La Rock and Jazzy Jay ],Fumbling Over Words That Rhyme [ Edan ],['1:53'],['0:33']
It's Yours [ T La Rock and Jazzy Jay ],Bless the Child [ Jake One and Little Brother ],['3:05'],['0:33']
It's Yours [ T La Rock and Jazzy Jay ],It's Yours (Original Distant Music Mix) [ Jon Cutler feat. E-Man ],['1:26'],['0:35']
Shook Ones Part II [ Mobb Deep ],Survival of the Fittest [ Mobb Deep ],['0:31'],['1:52']
Shook Ones Part II [ Mobb Deep ],Perfect Circle / God Speed [ Mac Miller ],['2:31'],['1:19']
Shook Ones Part II [ Mobb Deep ],The Roof (Back in Time) [ Mariah Carey ],['0:17'],['0:06']
Shook Ones Part II [ Mobb Deep ],Always Coming Back Home to You [ Atmosphere ],['0:03'],['0:10']
Shook Ones Part II [ Mobb Deep ],So What the Fuss (Remix) [ Stevie Wonder feat. Q-Tip and En Vogue ],['0:15'],['0:04']
Shook Ones Part II [ Mobb Deep ],"April 29, 1992 [ Sublime ]",['2:21'],['3:13']
Shook Ones Part II [ Mobb Deep ],This Is Why I'm Hot [ Mims ],['0:41'],['0:05']
Shook Ones Part II [ Mobb Deep ],BRRR [ Anuel AA ],['0:00'],['0:00']
Shook Ones Part II [ Mobb Deep ],Thug Muzik [ Mobb Deep feat. Infamous Mobb and Chinky ],['4:20'],['1:47']
Shook Ones Part II [ Mobb Deep ],Hardknock [ Joey Bada$$ feat. CJ Fly ],['3:43'],['0:08']
Shook Ones Part II [ Mobb Deep ],"My Shot [ Lin-Manuel Miranda, Anthony Ramos, Daveed Diggs and Okieriete Onaodowan ]",['0:26'],['1:21']
Shook Ones Part II [ Mobb Deep ],"Tha Game [ Pete Rock feat. Raekwon, Prodigy and Ghostface Killah ]",['2:46'],['1:15']
Shook Ones Part II [ Mobb Deep ],Affalterbach [ Shindy ],['1:19'],['0:29']
Shook Ones Part II [ Mobb Deep ],Audio Meth [ Rick Ross feat. Raekwon ],['0:23'],['0:24']
Shook Ones Part II [ Mobb Deep ],Theme Song [ Danny Brown ],['1:58'],['0:42']
Shook Ones Part II [ Mobb Deep ],They Shook [ Curren$y ],['0:00'],['0:07']
The New Style [ Beastie Boys ],CAROUSEL [ Travis Scott ],['0:15'],['4:13']
The New Style [ Beastie Boys ],Drop [ The Pharcyde ],['0:03'],['3:20']
The New Style [ Beastie Boys ],Check Yo Self [ Ice Cube feat. Das EFX ],['1:14'],['0:01']
The New Style [ Beastie Boys ],No Limit [ G-EAZY feat. Cardi B and A$AP Rocky ],['0:10'],['4:13']
The New Style [ Beastie Boys ],Let Me Clear My Throat [ DJ Kool ],['0:47'],['3:10']
The New Style [ Beastie Boys ],Intergalactic [ Beastie Boys ],['3:10'],['3:20']
The New Style [ Beastie Boys ],Not a Stain on Me [ Big Tuck ],['0:09'],['4:13']
The New Style [ Beastie Boys ],The New [ J Dilla ],['0:00'],['0:00']
The New Style [ Beastie Boys ],Da Joint [ EPMD ],['1:55'],['3:14']
The New Style [ Beastie Boys ],Temptation [ Big K.R.I.T. ],['0:41'],['4:16']
The New Style [ Beastie Boys ],I'm So Hi [ Three 6 Mafia ],['0:26'],['4:13']
The New Style [ Beastie Boys ],I Am Not a Human Being [ Lil Wayne ],['0:09'],['0:17']
The New Style [ Beastie Boys ],Workinonit [ J Dilla ],['0:01'],['0:02']
The New Style [ Beastie Boys ],C-walk [ Kurupt feat. Tray Deee and Slip Capone ],['0:06'],['3:10']
The New Style [ Beastie Boys ],800db Cloud [ 100 gecs ],['0:14'],['0:26']
The New Style [ Beastie Boys ],Renegades (Original Version) [ Royce Da 5'9'' feat. Eminem ],['1:05'],['0:08']
Different Strokes [ Syl Johnson ],Shame on a Nigga [ Wu-Tang Clan ],['0:03'],['2:15']
Different Strokes [ Syl Johnson ],The Joy [ Kanye West and Jay-Z feat. Curtis Mayfield ],['0:31'],['0:00']
Different Strokes [ Syl Johnson ],Fight the Power [ Public Enemy ],['2:20'],['0:27']
Different Strokes [ Syl Johnson ],I Know You Got Soul [ Eric B. & Rakim ],['2:30'],['0:05']
Different Strokes [ Syl Johnson ],The Magic Number [ De La Soul ],['2:45'],['0:33']
Different Strokes [ Syl Johnson ],It's My Thing [ EPMD ],['2:14'],['0:02']
Different Strokes [ Syl Johnson ],Criminal Minded [ Boogie Down Productions ],['0:44'],['0:06']
Different Strokes [ Syl Johnson ],Real Niggaz Don't Die [ N.W.A ],['1:04'],['0:01']
Different Strokes [ Syl Johnson ],His Pain II [ BJ the Chicago Kid feat. Kendrick Lamar ],['0:35'],['0:01']
Different Strokes [ Syl Johnson ],2 Bad [ Michael Jackson feat. Shaquille O'Neal ],['3:36'],['0:06']
Different Strokes [ Syl Johnson ],We're All in the Same Gang [ West Coast Rap All Stars ],['0:33'],['0:06']
Different Strokes [ Syl Johnson ],Miuzi Weighs a Ton [ Public Enemy ],['1:09'],['0:06']
Different Strokes [ Syl Johnson ],Talk Like Sex [ Kool G Rap & DJ Polo ],['0:00'],['0:10']
Different Strokes [ Syl Johnson ],Signs [ J Dilla ],['0:03'],"['0:01', '0:04', '0:06']"
Different Strokes [ Syl Johnson ],Blood on the Dance Floor (Refugee Camp Mix) [ Michael Jackson ],['0:03'],['0:06']
Different Strokes [ Syl Johnson ],(This Is) Detroit Soul [ Paul Nero ],['0:46'],['1:29']
Public Enemy No. 1 [ Public Enemy ],Shook Ones Part I [ Mobb Deep ],['0:01'],['1:32']
Public Enemy No. 1 [ Public Enemy ],Harder Than You Think [ Public Enemy ],"['0:14', '1:29']","['0:04', '4:08']"
Public Enemy No. 1 [ Public Enemy ],P.E. 2000 [ Puff Daddy ],['0:19'],['0:00']
Public Enemy No. 1 [ Public Enemy ],So Wat Cha Sayin' [ EPMD ],['0:33'],['1:32']
Public Enemy No. 1 [ Public Enemy ],"The One [ Kanye West, Big Sean, 2 Chainz and Marsha Ambrosius ]",['1:07'],['1:30']
Public Enemy No. 1 [ Public Enemy ],Zero Dark Thirty [ Aesop Rock ],['1:33'],['1:30']
Public Enemy No. 1 [ Public Enemy ],No More Music by the Suckers [ Mr. Magic ],['0:03'],['1:27']
Public Enemy No. 1 [ Public Enemy ],Catchin' the Vibe [ Quasimoto ],['1:49'],['1:33']
Public Enemy No. 1 [ Public Enemy ],Le Monde De Demain [ Suprême NTM ],['2:35'],['1:33']
Public Enemy No. 1 [ Public Enemy ],Rhyme the Rhyme Well [ Beastie Boys ],['0:38'],['0:35']
Public Enemy No. 1 [ Public Enemy ],1-9-9-9 [ Common feat. Sadat X ],['0:18'],['1:28']
Public Enemy No. 1 [ Public Enemy ],Can I Speak to You [ 50 Cent feat. ScHoolboy Q ],['0:09'],['1:31']
Public Enemy No. 1 [ Public Enemy ],I'm Not Feeling You [ Yvette Michele ],['0:04'],['1:32']
Public Enemy No. 1 [ Public Enemy ],Letting Go [ Lupe Fiasco feat. Sarah Green ],['3:20'],['1:20']
Public Enemy No. 1 [ Public Enemy ],Fuck Around Again (Doggie Style Mix) [ House of Whores ],['0:27'],['1:30']
Public Enemy No. 1 [ Public Enemy ],Lost at Birth [ Public Enemy ],['3:33'],['1:32']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],How's It Goin' Down [ DMX feat. Faith Evans ],['0:21'],['0:02']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],Maria Maria [ Santana feat. The Product G&B ],['1:21'],['0:00']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],Hip Hop Is Dead [ Nas feat. will.i.am ],['0:24'],['0:10']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],Gangsta Gangsta [ N.W.A ],['4:06'],['0:09']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],Dog It [ Digable Planets ],['0:21'],['0:05']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],Ring Ring Ring (Ha Ha Hey) [ De La Soul ],['2:30'],['0:05']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],Bring the Beat Back [ Steady B ],['0:39'],['0:09']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],Dub Be Good to Me [ Beats International ],['0:02'],['0:01']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],God Made Me Funky [ Too Poetic ],['1:51'],['2:01']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],If U Stay Ready [ Suga Free feat. Playa Hamm ],['0:10'],['0:12']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],Bacteria [ Ed Rush & Optical ],['0:47'],['0:23']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],Take It Off [ De La Soul ],['0:02'],['0:10']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],Eclipse [ Nujabes feat. Substantial ],['0:01'],['0:01']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],Right Here [ SWV ],['1:15'],['0:02']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],The Beast [ Fugees ],['0:00'],['0:06']
God Make Me Funky [ The Headhunters feat. Pointer Sisters ],To the Listeners [ Eric B. & Rakim ],['0:02'],['0:09']
Atomic Dog [ George Clinton ],Who Am I (What's My Name)? [ Snoop Dogg feat. Jewell and Dr. Dre ],"['1:44', '1:54']","['0:47', '1:05']"
Atomic Dog [ George Clinton ],Fuck Wit Dre Day (And Everybody's Celebratin') [ Dr. Dre feat. Snoop Dogg ],['1:37'],['1:06']
Atomic Dog [ George Clinton ],Friday [ Ice Cube ],['2:05'],['1:48']
Atomic Dog [ George Clinton ],The Nigga Ya Love to Hate [ Ice Cube ],['0:01'],['0:04']
Atomic Dog [ George Clinton ],Holler if Ya Hear Me [ 2Pac ],['1:01'],['0:16']
Atomic Dog [ George Clinton ],My Summer Vacation [ Ice Cube ],['0:11'],['0:45']
Atomic Dog [ George Clinton ],Bow Wow (That's My Name) [ Lil' Bow Wow feat. Snoop Dogg ],['0:54'],['1:05']
Atomic Dog [ George Clinton ],Woof! [ Snoop Dogg feat. Fiend and Mystikal ],['0:15'],['1:05']
Atomic Dog [ George Clinton ],Bow Wow Wow [ Funkdoobiest ],['0:30'],['1:05']
Atomic Dog [ George Clinton ],Jump Up in the Air and Stay There [ Erykah Badu feat. Lil Wayne and Bilal ],['0:27'],['2:28']
Atomic Dog [ George Clinton ],Brothers Gonna Work It Out [ Public Enemy ],['0:34'],['0:16']
Atomic Dog [ George Clinton ],Ghetto Bird [ Ice Cube ],['0:03'],['0:31']
Atomic Dog [ George Clinton ],No Vaseline [ Ice Cube ],['5:02'],['0:00']
Atomic Dog [ George Clinton ],Watch Yo Nuggets [ Redman feat. Erick Sermon ],['0:00'],['2:10']
Atomic Dog [ George Clinton ],Pumps and a Bump [ MC Hammer ],['0:29'],['0:04']
Atomic Dog [ George Clinton ],Snoop Dogg (What's My Name Pt. 2) [ Snoop Dogg ],['1:34'],['0:47']
The Big Beat [ Billy Squier ],99 Problems [ Jay-Z ],['0:06'],"['0:06', '0:12']"
The Big Beat [ Billy Squier ],"Fix Up, Look Sharp [ Dizzee Rascal ]",['0:02'],['0:11']
The Big Beat [ Billy Squier ],Girl on Fire [ Alicia Keys ],['0:50'],['0:11']
The Big Beat [ Billy Squier ],Here We Go (Live at the Funhouse) [ Run-DMC ],['0:17'],['0:11']
The Big Beat [ Billy Squier ],Out of This World [ A$AP Rocky ],['0:17'],['0:11']
The Big Beat [ Billy Squier ],"Looking for Trouble [ Kanye West and Pusha T feat. Big Sean, CyHi the Prynce and J. Cole ]",['0:16'],['0:12']
The Big Beat [ Billy Squier ],Spitfire [ The Prodigy feat. Juliette Lewis ],['0:32'],['0:11']
The Big Beat [ Billy Squier ],Butterfly [ Crazy Town ],"['2:19', '2:22']",['3:02']
The Big Beat [ Billy Squier ],Ain't No Half-Steppin' [ Big Daddy Kane ],['4:01'],['0:36']
The Big Beat [ Billy Squier ],We Can Get Down [ A Tribe Called Quest ],['0:03'],['0:36']
The Big Beat [ Billy Squier ],Hip Hop Is Dead [ Nas feat. will.i.am ],['3:37'],['0:11']
The Big Beat [ Billy Squier ],Roxanne Roxanne [ UTFO ],['1:26'],['0:11']
The Big Beat [ Billy Squier ],Jackin' for Beats [ Ice Cube ],['1:17'],['0:12']
The Big Beat [ Billy Squier ],Real Niggaz Don't Die [ N.W.A ],['1:24'],['0:37']
The Big Beat [ Billy Squier ],"XXL Freshman Cypher Pt 1 [ Yelawolf, Kendrick Lamar, Lil B and CyHi the Prynce ]",['0:10'],['0:11']
The Big Beat [ Billy Squier ],"Therapy [ The Alchemist and Blu feat. Evidence, Kid Cudi and Talib Kweli ]",['0:10'],['0:37']
Soul Pride [ James Brown ],Girl/Boy Song [ Aphex Twin ],['0:31'],['3:26']
Soul Pride [ James Brown ],9th Wonder (Blackitolism) [ Digable Planets feat. Jazzy Joyce ],['0:11'],['3:22']
Soul Pride [ James Brown ],Knights of the Roundtable [ Legion of D.U.M.E. ],['0:08'],['3:29']
Soul Pride [ James Brown ],Beep Street [ Squarepusher ],['0:01'],['3:26']
Soul Pride [ James Brown ],Sunset (Bird of Prey) [ Fatboy Slim ],['2:25'],['3:29']
Soul Pride [ James Brown ],Arrest the President [ Intelligent Hoodlum ],['0:00'],['3:22']
Soul Pride [ James Brown ],Lesson 4 [ DJ Shadow ],['5:35'],['3:23']
Soul Pride [ James Brown ],The Rain [ Photek ],['3:37'],['3:23']
Soul Pride [ James Brown ],Secret Garden [ Madonna ],['0:16'],['3:29']
Soul Pride [ James Brown ],Born Too Slow [ The Crystal Method ],['0:08'],['3:29']
Soul Pride [ James Brown ],Time for a Smackdown [ Mr. Sauceman ],['0:00'],['3:22']
Soul Pride [ James Brown ],A Journey to Reedham (7AM Mix) [ Squarepusher ],['0:44'],['3:22']
Soul Pride [ James Brown ],Nuestra Fiesta [ Tiro De Gracia and Los Tetas ],"['0:05', '0:32', '0:36', '0:44', '0:48', '1:23', '1:42', '1:46']",['3:23']
Soul Pride [ James Brown ],Try Me On...I'm Very You [ Deee-Lite ],['0:25'],['3:28']
Soul Pride [ James Brown ],Music Box [ Roni Size and DJ Die ],['0:37'],['3:29']
Soul Pride [ James Brown ],"Face Down, Ass Up [ Luke feat. 2 Live Crew ]",['0:27'],['2:44']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],Players [ Coi Leray ],['0:09'],['0:05']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],Teen Pregnancy [ Blank Banshee ],['0:27'],['0:07']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],Can't Nobody Hold Me Down [ Puff Daddy feat. Mase ],['0:12'],['0:00']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],2 of Amerikaz Most Wanted [ 2Pac feat. Snoop Dogg ],['0:35'],['3:20']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],Check Yo Self (The Message Remix) [ Ice Cube feat. Das EFX ],['0:00'],['0:01']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],Magic Spells [ Crystal Castles ],['0:36'],['0:07']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],The Message [ Snoop Dogg ],['0:08'],['0:03']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],"Holiday [ Calvin Harris feat. Snoop Dogg, John Legend and Takeoff ]",['1:21'],['1:12']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],"Disco Paradise [ Fedez, Annalisa and Articolo 31 ]",['0:04'],['0:05']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],Retro Future [ Triple H ],['0:41'],['0:07']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],esprit.wav [ ESPRIT 空想 ],"['0:57', '1:03']","['0:11', '0:12']"
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],U Remind Me (Remix) [ Usher feat. Method Man and Blu Cantrell ],['0:39'],['0:36']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],The Best Day [ Atmosphere ],['1:24'],['2:51']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],Back Up Off Me! [ Doctor Dré and Ed Lover feat. T-Money ],['3:39'],['1:01']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],Still a G Thang [ Snoop Dogg ],['0:51'],['0:27']
The Message [ Grandmaster Flash and The Furious Five feat. Grandmaster Melle Mel and Duke Bootee ],Stay Woke [ Meek Mill feat. Miguel ],['0:05'],['0:26']
More Bounce to the Ounce [ Zapp ],Going Back to Cali [ The Notorious B.I.G. ],['1:18'],['0:01']
More Bounce to the Ounce [ Zapp ],Str8 Jackin' [ O-Dog ],['0:05'],['7:48']
More Bounce to the Ounce [ Zapp ],You Gots to Chill [ EPMD ],['0:04'],['0:00']
More Bounce to the Ounce [ Zapp ],Venom [ Eminem ],['0:45'],['0:00']
More Bounce to the Ounce [ Zapp ],Ain't No Future in Yo' Frontin' [ MC Breed and DFC ],['0:04'],['7:50']
More Bounce to the Ounce [ Zapp ],The Bomb [ Ice Cube ],['2:02'],['0:02']
More Bounce to the Ounce [ Zapp ],More Ounce (Rap) [ Bob Demo ],['0:14'],['0:00']
More Bounce to the Ounce [ Zapp ],Pistolgrip-Pump [ Volume 10 ],['0:18'],['0:00']
More Bounce to the Ounce [ Zapp ],Do You [ Slum Village feat. MC Breed ],['0:00'],['7:26']
More Bounce to the Ounce [ Zapp ],Snoop Bounce [ Snoop Dogg feat. Charlie Wilson ],['0:02'],['0:00']
More Bounce to the Ounce [ Zapp ],Twist My Fingaz [ YG ],['0:05'],['7:48']
More Bounce to the Ounce [ Zapp ],More Bounce [ Heavy D & the Boyz ],['0:20'],['0:00']
More Bounce to the Ounce [ Zapp ],Friday [ Ice Cube ],"['0:00', '0:01']","['0:05', '0:03']"
More Bounce to the Ounce [ Zapp ],Anti-nigger Machine [ Public Enemy ],['0:07'],['0:01']
More Bounce to the Ounce [ Zapp ],Servin' Em Heat [ South Central Cartel ],['0:03'],['7:51']
More Bounce to the Ounce [ Zapp ],So Ruff [ Redman ],['0:10'],['0:00']
Top Billin' [ Audio Two ],Otis [ Jay-Z and Kanye West feat. Otis Redding ],['2:28'],['0:44']
Top Billin' [ Audio Two ],I Get Money [ 50 Cent ],['0:11'],['1:03']
Top Billin' [ Audio Two ],I Got 5 on It [ Luniz feat. Mike Marshall ],['1:30'],['0:49']
Top Billin' [ Audio Two ],Only God Can Judge Me [ 2Pac feat. Rappin' 4-Tay ],['0:15'],['0:04']
Top Billin' [ Audio Two ],Real Love [ Mary J. Blige ],['0:03'],['0:01']
Top Billin' [ Audio Two ],Nobody Speak [ DJ Shadow feat. Run the Jewels ],['2:20'],['0:44']
